상호명,업종명,업종대분류,업종소분류,소재지도로명주소,소재지지번주소,동명,우편번호,위도,경도
운이네,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 영통구 광교중앙로 256,1층 111호 (하동)",경기도 수원시 영통구 하동 983-2번지 1층 111호,하동,16512,37.29272,127.067999
울금향마라향궈,일반휴게음식-중국식,일반휴게음식,중국식,"경기 수원시 팔달구 갓매산로 8,1층 2호 (매산로3가)",경기도 수원시 팔달구 매산로3가 105-142번지 1층 2호,매산동,16460,37.26614589,127.0076991
울금향반점,일반휴게음식-중국식,일반휴게음식,중국식,경기 수원시 팔달구 갓매산로55번길 4(매산로2가),경기도 수원시 팔달구 매산로2가 14-4번지,매산동,16455,37.26942181,127.0043054
울동네,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 동말로77번길 28(화서동),경기도 수원시 팔달구 화서동 71-36번지,화서동,16439,37.28009729,127.0028705
울등로산오징어,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 수성로 274(영화동),경기도 수원시 장안구 영화동 397-4번지,영화동,16274,37.29011004,127.0024662
울라피자(OOLA PIZZA),일반휴게음식-주점,일반휴게음식,주점,경기 수원시 팔달구 인계로124번길 41-161층 (인계동),경기도 수원시 팔달구 인계동 1041-8번지 1층,인계동,16489,37.26525857,127.0311522
울랄라포차,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 세권로138번길 62,1층 (세류동,이레주택그린하우스)",경기도 수원시 권선구 세류동 1094-11번지 이레주택그린하우스 1층,세류동,16579,37.25432516,127.0178122
울랄라포차3호점,일반휴게음식-주점,일반휴게음식,주점,"경기 수원시 권선구 장다리로 54,102호 (세류동,대주빌딩)",경기도 수원시 권선구 세류동 1081-13번지 대주빌딩 102호,세류동,16580,37.25518985,127.0198703
울엄마김치찌개,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 갓매산로86번길 14,1층 (고등동)",경기도 수원시 팔달구 고등동 303-14번지 1층,고등동,16454,37.27053925,127.0020874
웃거리왕족발,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 탑동로 16, 1층(탑동)",경기도 수원시 권선구 탑동 843-8번지 1층,탑동,16607,37.27030593,126.9752001
